Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",,Grid reference,Latitude,Longitude
Northumbrian Water,A692 CSO,6NW800940,234/1117,234/1117,,SO on sewer network,NZ0850049000,GB103023074790,Derwent from Burnhope Burn to River Tyne,DENE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,7.00,10,10.9,10 (installed pre-2013),98.78%,,,,,,,NZ0850049000,54.835754,-1.869192
Northumbrian Water,ABATTOIR ST CSO,6NW801537,254/1860,254/1860,,SO on sewer network,NZ4312017250,GB103025072550,Lustrum Beck Catchment (trib of Tees),TRIB OF HARTBURN BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.1,10 (installed pre-2013),99.99%,,,,,,,NZ4312017250,54.548673,-1.334908
Northumbrian Water,ABBEY COURT (AMPLEFORTH AVENUE) CSO,6NW801595,254/1855,254/1855,,SO on sewer network,NZ5475118719,10,Cross Beck (river Tees),CROSS BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,3.00,7,11.8,10 (installed pre-2013),99.31%,,,,,,,NZ5475118719,54.560752,-1.154848
Northumbrian Water,ACKLAM STREET OUTFALL,6NW800648,QR.25/04/1512,QR.25/04/1512,A1,Storm discharge at pumping station,NZ4956521392,GB510302509900,Tees,River Tees,,,Not Applicable,Commissioned in 2020 - full year data expected,7.84,12,30.3,3 (installed 2019),100%,,,,,,,NZ4956521392,54.585305,-1.234586
Northumbrian Water,ACOMB CRESCENT (CATHEDRAL) CSO,6NW801152,235/1609,235/1609,,SO on sewer network,NZ2296069880,GB103023075780,Ouse Burn from Source to Tyne,OUSE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,17.25,7,13.0,10 (installed pre-2013),99.97%,,,,,,,NZ2296069880,55.022933,-1.642412
Northumbrian Water,ACOMB CSO,6NW800893,233/G/0243,233/G/0243,,SO on sewer network,NY9264465247,GB103023075801,Tyne from Watersmeet to Tidal Limit,RIVER TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,104.23,81,61.4,10 (installed pre-2013),94.98%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NY9264465247,54.981769,-2.116471
Northumbrian Water,ACOMB PUMPING STATION,6NW800495,233/1041,233/1041,233/1041-01,Storm discharge at pumping station,NY9306065460,GB103023075730,Red Burn (Trib of Tyne),BIRKLEY BURN (RIVER TYNE),,,Not Applicable,Commissioned in 2020 - full year data expected,52.50,29,31.7,3 (installed 2019),99.97%,,,,,,,NY9306065460,54.983689,-2.109976
Northumbrian Water,ADDERLANE SCHOOL CSO (TD035),6NW800960,233/1249,233/1249,,SO on sewer network,NZ1037263365,GB103023075801,Tyne from Watersmeet to Tidal Limit,ADDERLANE GILL TRIB PARK BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,10.43,7,8.2,10 (installed pre-2013),100%,,,,,,,NZ1037263365,54.964807,-1.839536
Northumbrian Water,ADDISON VILLAGE CSO UNIT 3,6NW800246,233/1023,233/1023,,SO on sewer network,NZ1697664214,GB510302310200,TYNE,TYNE,,,Not Applicable,Commissioned in 2020 - full year data expected,2.41,8,6.7,3 (installed 2019),100%,,,,,,,NZ1697664214,54.972257,-1.736342
Northumbrian Water,AINSLEY STREET CSO,6NW800323,NPSWQD002839,NPSWQD002839,,SO on sewer network,NZ2667042673,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,CLVRTD TRIB OF RIVER WEAR,,,Not Applicable,Commissioned in 2016 - full year data expected,0.00,0,0.3,6 (installed 2016),99.99%,,,,,,,NZ2667042673,54.778265,-1.586894
Northumbrian Water,AISLABY QUAY SPS,6NW800615,254/1928,254/1928,A1,Storm discharge at pumping station,NZ4071712229,GB103025072595,Tees from Skerne to Tidal Limit,RIVER TEES,,,Not Applicable,Commissioned pre-2016 - full year data expected,18.25,3,2.0,10 (installed pre-2013),82.33%,Comms failure / issue,Resolved - Mar,,,,,NZ4071712229,54.503751,-1.372746
Northumbrian Water,ALBANY ROAD/SALTMEADOWS ROAD CSO,6NW801243,235/1659,235/1659,,SO on sewer network,NZ2669063657,GB510302310200,TYNE,TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,30.20,29,27.2,10 (installed pre-2013),99.95%,,,,,,,NZ2669063657,54.966828,-1.58465
Northumbrian Water,ALBION TERRACE STORM RETENTION,6NW800433,255/1092,255/1092,,SO on sewer network,NZ5305733526,GB650301500005,Tees Coastal,NORTH SEA,,,Not Applicable,Commissioned in 2019 - full year data expected,0.00,0,0.0,4 (installed 2018),100%,,,,,,,NZ5305733526,54.693984,-1.178364
Northumbrian Water,ALDBROUGH SEWAGE TREATMENT WORKS,6NW800742,25/02/1079,25/02/1079,25/02/1079-03,Storm tank at WwTW,NZ2077010840,GB103025072060,Aldbrough Beck from Forcett Park Catch to Clow Bk,ALDBROUGH BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.0,3 (installed 2019),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NZ2077010840,54.492473,-1.680863
Northumbrian Water,ALDBROUGH ST JOHN SEWAGE PUMPING,6NW800743,25/02/1081,25/02/1081,25/02/1081-01,Storm discharge at pumping station,NZ2059011050,GB103025072060,Aldbrough Beck from Forcett Park Catch to Clow Bk,ALDBROUGH BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,94.70,16,61.0,3 (installed 2019),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ2059011050,54.494368,-1.683628
Northumbrian Water,ALDIN GRANGE CSO,6NW801180,244/1004,244/1004,,SO on sewer network,NZ2448543299,GB103024077551,Browney from Smallhope Burn Deerness confl,UNNAMED TRIB OF RIVER BROWNEY,,,Not Applicable,Commissioned pre-2016 - full year data expected,74.00,39,31.7,10 (installed pre-2013),96.91%,,,,,,,NZ2448543299,54.784001,-1.62081
Northumbrian Water,ALLENDALE STW,6NW800700,232/1118,232/1118,232/1118-03,Storm tank at WwTW,NY8281057030,GB103023074710,Allen from Source to West Allen,RIVER EAST ALLEN,,,Not Applicable,Commissioned in 2020 - full year data expected,2692.01,142,147.3,3 (installed 2019),99.40%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NY8281057030,54.907685,-2.269632
Northumbrian Water,ALLENSWAY CSO,6NW800423,254/1382,254/1382,,SO on sewer network,NZ4634915842,GB103025072180,Stainsby Beck Catchment (trib of Tidal Tees),STAINSBY BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.0,7 (installed 2015),99.99%,,,,,,,NZ4634915842,54.535736,-1.285215
Northumbrian Water,"Allotment Gardens, Shotton Colliery - NWL name",6NW000039,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ3962641208,GB103025075930,Castle Eden Burn from Source to North Sea,TBC,,,Not Applicable,Commissioned in 2021 - full year data expected,0.00,0,0.0,1 (installed 2021),99.98%,,,,,,,NZ3962641208,54.764248,-1.385682
Northumbrian Water,ALN BANK CSO,6NW800215,222/0865,222/0865,,SO on sewer network,NU0711612015,GB103022076310,Aln from Callaly Burn to Coe Burn,RIVER ALN,,,Not Applicable,Commissioned in 2021 - full year data expected,0.00,0,0.0,1 (installed 2021),65.02%,Comms failure / issue,Resolved - May,,,,,NU0711612015,55.402026,-1.889186
Northumbrian Water,ALNMOUTH P STATION,6NW800476,222/0839,222/0839,222/0839-01,Storm discharge at pumping station,NU2432010620,GB510302203300,ALN,RIVER ALN(SALINE ESTUARY),,,Not Applicable,Commissioned in 2019 - full year data expected,18.25,9,13.0,4 (installed 2018),91.35%,,,,,,,NU2432010620,55.388944,-1.617651
Northumbrian Water,ALNMOUTH ROAD SSO,6NW800860,222/D/0255,222/D/0255,,SO on sewer network,NU1940013700,GB103022076350,Aln from Edlingham Burn to Tidal Limit,ALN,,,Not Applicable,Commissioned pre-2016 - full year data expected,21.00,24,29.1,10 (installed pre-2013),99.74%,,,,,,,NU1940013700,55.416837,-1.695101
Northumbrian Water,ALNWICK CASTLE CSO A011,6NW800856,222/0857,222/0857,,SO on sewer network,NU1885113533,GB103022076350,Aln from Edlingham Burn to Tidal Limit,BOW BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,37.00,41,44.7,10 (installed pre-2013),99.21%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NU1885113533,55.415358,-1.703784
Northumbrian Water,ALNWICK CASTLE CSO NO 2 A035,6NW800216,222/0827,222/0827,,SO on sewer network,NU1913913618,GB103022076350,Aln from Edlingham Burn to Tidal Limit,RIVER ALN,,,Not Applicable,Commissioned in 2017 - full year data expected,2.00,4,22.2,5 (installed 2017),99.82%,,,,,,,NU1913913618,55.416111,-1.699229
Northumbrian Water,ALNWICK SEWAGE TREATMENT WORKS,6NW800118,222/0862,222/0862,A3,Inlet SO at WwTW,NU2040013200,GB103022076350,Aln from Edlingham Burn to Tidal Limit,RIVER ALN,,,Not Applicable,Commissioned in 2020 - full year data expected,93.21,46,15.3,3 (installed 2019),48.15%,Sensor failure / issue,Resolved - Nov,,,,,NU2040013200,55.412304,-1.679341
Northumbrian Water,ALNWICK SEWAGE TREATMENT WORKS,6NW800695,222/0862,222/0862,A2,Storm tank at WwTW,NU2040013200,GB103022076350,Aln from Edlingham Burn to Tidal Limit,RIVER ALN,,,Not Applicable,Commissioned in 2020 - full year data expected,211.04,50,32.0,3 (installed 2019),100%,,,,,,,NU2040013200,55.412304,-1.679341
Northumbrian Water,ALSTON EJECTOR STATION CSO,6NW800877,232/1135,232/1135,A1,Storm discharge at pumping station,NY7161946248,GB103023075531,South Tyne from Black Burn to Tipalt Burn,RIVER SOUTH TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.00,2,19.5,10 (installed pre-2013),3.56%,Comms failure / issue,N/A - Ongoing investigation,,,,,NY7161946248,54.810284,-2.443103
Northumbrian Water,Alwinton STW ,6NW000046M2,223/0419,,,Inlet SO at WwTW,NT9205006166,GB103022076770,Alwin Catchment (trib of Coquet),Hosedon Burn tributary of River Coquet,,,Not Applicable,Commissioned in 2019 - full year data expected,20.78,11,10.3,3 (installed 2019),55.37%,Comms failure / issue,Resolved - Jun,,,,,NT9205006166,55.349453,-2.126917
Northumbrian Water,Alwinton STW ,6NW000046M3,223/0419,,,Inlet SO at WwTW,NT9205006166,GB103022076770,Alwin Catchment (trib of Coquet),Hosedon Burn tributary of River Coquet,,,Not Applicable,Commissioned in 2019 - full year data expected,308.50,58,45.0,3 (installed 2019),47.41%,Comms failure / issue,Resolved - Oct,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NT9205006166,55.349453,-2.126917
Northumbrian Water,AMBLE HARBOUR PUMPING STATION,6NW800482,223/0933,223/0933,223/0933-01,Storm discharge at pumping station,NU2688004820,GB510302203000,COQUET,NORTH SEA,,Warkworth & Amble Links,Not Applicable,Commissioned in 2018 - full year data expected,90.20,29,26.8,5 (installed 2017),99.98%,,,,,,,NU2688004820,55.336696,-1.577797
Northumbrian Water,AMBLE WASTE WATER TREATMENT WORKS,6NW800122,223/0931,223/0931,A2,Inlet SO at WwTW,NU2767004990,GB650301500001,Northumberland South,NORTH SEA,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.0,2 (installed 2020),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NU2767004990,55.33818,-1.565327
Northumbrian Water,AMELIA CLOSE CSO - C49/102,6NW800294,235/1316,235/1316,,SO on sewer network,NZ2207663278,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned in 2018 - full year data expected,8.83,17,18.2,5 (installed 2017),100%,,,,,,,NZ2207663278,54.963647,-1.656745
Northumbrian Water,ANDREWS HOUSE LA HACIENDA CSO,6NW800952,233/1265,233/1265,,SO on sewer network,NZ0928763520,GB103023075801,Tyne from Watersmeet to Tidal Limit,TYNE (UNAMED TRIB.),,,Not Applicable,Commissioned pre-2016 - full year data expected,14.37,17,10.9,10 (installed pre-2013),91.74%,,,,,,,NZ0928763520,54.966221,-1.856477
Northumbrian Water,ANGATE STREET CSO,6NW801629,EPRBB3992AT,EPRBB3992AT,,SO on sewer network,NZ0779937205,GB103024077520,Waskerley Beck from Source to Wear,WASKERLEY BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,6.9,9 (installed 2013),90.98%,,,,,,,NZ0779937205,54.72977,-1.880418
Northumbrian Water,ANICK CSO TD006,6NW800902,233/1242,233/1242,,SO on sewer network,NY9593265116,GB103023075801,Tyne from Watersmeet to Tidal Limit,UNNAMED TRIB RIVER TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,30.75,24,28.0,10 (installed pre-2013),98.96%,,,,,,,NY9593265116,54.98063,-2.065093
Northumbrian Water,ANNFIELD PLAIN & STANLEY CSO 8,6NW800245,EPRBB3491WR,EPRBB3491WR,,SO on sewer network,NZ1670652607,GB103023075670,Team from Source to Tyne,CARRMYERS BURN,,,Not Applicable,Commissioned in 2018 - full year data expected,23.75,4,8.0,4 (installed 2018),71.42%,Comms failure / issue,Resolved - Oct,,,,,NZ1670652607,54.867963,-1.741229
Northumbrian Water,ANNITSFORD BRIDGE CSO,6NW800335,226/1261,226/1261,,SO on sewer network,NZ2702273777,GB103022076190,Seaton Burn from Source to Tidal Limit,SEATON BURN,,,Not Applicable,Commissioned in 2017 - full year data expected,0.00,0,0.2,5 (installed 2017),99.98%,,,,,,,NZ2702273777,55.057748,-1.578513
Northumbrian Water,ANNITSFORD BRIDGE CSO FERN DRIVE,6NW800327,226/G/0058,226/G/0058,,SO on sewer network,NZ2691573580,GB103022076190,Seaton Burn from Source to Tidal Limit,Seaton Burn,,,Not Applicable,Commissioned in 2017 - full year data expected,0.00,0,0.0,5 (installed 2017),67.40%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ2691573580,55.055984,-1.580206
Northumbrian Water,ARGYLE COURT CSO,6NW801114,EPRBP3427GC,EPRBP3427GC,,SO on sewer network,NZ1967654170,GB103023075670,Team from Source to Tyne,Houghwell Burn,,,Not Applicable,Commissioned pre-2016 - full year data expected,2.25,5,2.9,10 (installed pre-2013),99.99%,,,,,,,NZ1967654170,54.881902,-1.694848
Northumbrian Water,ARMONSIDE RD CONNOLLY TERRACE CSO,6NW800981,234/1124,234/1124,,SO on sewer network,NZ1287756827,GB103023074790,Derwent from Burnhope Burn to River Tyne,RIVER DERWENT,,,Not Applicable,Commissioned pre-2016 - full year data expected,94.25,32,41.5,10 (installed pre-2013),99.38%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ1287756827,54.905998,-1.800702
Northumbrian Water,ASH MEADOWS CSO CHESTER LE STREET,6NW801312,245/E/0593,245/E/0593,,SO on sewer network,NZ2829253005,GB103024077624,Wear DS of Lumley Park Burn to Tidal Limit,TRIB. OF WEAR ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,80.25,50,63.8,10 (installed pre-2013),99.77%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ2829253005,54.871022,-1.560672
Northumbrian Water,ASH TREE LANE CSO,6NW801000,234/1056,234/1056,,SO on sewer network,NZ1425059540,GB103023074790,Derwent from Burnhope Burn to River Tyne,SPEN BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,37.25,23,24.8,8 (installed 2014),99.38%,,,,,,,NZ1425059540,54.93034,-1.779156
Northumbrian Water,ASHINGTON CSO PARK ROAD WK 006,6NW801261,225/1029,225/1029,,SO on sewer network,NZ2708086616,GB103022077062,Wansbeck from Bothal Burn to North Sea,BLACKCLOSE BURN (R.WANSBECK),,,Not Applicable,Commissioned pre-2016 - full year data expected,21.25,12,17.9,10 (installed pre-2013),99.99%,,,,,,,NZ2708086616,55.173113,-1.576386
Northumbrian Water,ASHINGTON DRIVE CSO HLF MOON RNDBWT,6NW801259,225/0940,225/0940,,SO on sewer network,NZ2690486086,GB103022077062,Wansbeck from Bothal Burn to North Sea,WANSBECK ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.75,3,17.8,10 (installed pre-2013),96.24%,,,,,,,NZ2690486086,55.16836,-1.5792
Northumbrian Water,ASKRIGG STREET COMBINED SEWER OVERF,6NW801332,253/1088,253/1088,,SO on sewer network,NZ2950016000,GB103025072596,Skerne from Demons Beck to Tees,RIVER SKERNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.50,1,0.2,10 (installed pre-2013),85.84%,Comms failure / issue,Resolved - May,,,,,NZ2950016000,54.538414,-1.54558
Northumbrian Water,ATHERSTONE DRIVE CSO (L022),6NW801611,256/1044,256/1044,,SO on sewer network,NZ6138915392,GB103025071970,Skelton Beck Catch (Saltburn) trib of North Sea,TRIBUTARY OF CHAPEL BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,17.25,4,5.7,10 (installed pre-2013),99.67%,,,,,,,NZ6138915392,54.530096,-1.052905
Northumbrian Water,ATHERTON STREET CSO,6NW801229,245/1321,245/1321,,SO on sewer network,NZ2687642591,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,FLASS BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.50,2,4.5,10 (installed pre-2013),91.44%,,,,,,,NZ2687642591,54.777517,-1.583699
Northumbrian Water,ATKINSON ROAD CSO,6NW800284,235/1315,235/1315,,SO on sewer network,NZ2160863384,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned in 2018 - full year data expected,17.19,27,40.2,5 (installed 2017),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ2160863384,54.96462,-1.664047
Northumbrian Water,ATTWOOD TERRACE CSO SE008,6NW801225,243/1002,243/1002,,SO on sewer network,NZ2654535606,GB103024077464,Wear from Gaunless to Browney,NICKY NACK BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,14.00,12,7.3,10 (installed pre-2013),98.95%,,,,,,,NZ2654535606,54.714765,-1.58948
Northumbrian Water,AVENUE VIVIAN CSO SU013,6NW801657,245/1375,245/1375,,SO on sewer network,NZ3200750504,GB103024077580,Lumley Park Burn from Source to Herrington Burn,MOORS BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,44.00,18,19.5,10 (installed pre-2013),99.97%,,,,,,,NZ3200750504,54.848324,-1.503062
Northumbrian Water,AVONDALE CSO,6NW800866,222/B/0049,222/B/0049,,SO on sewer network,NU2383911581,GB103022076350,Aln from Edlingham Burn to Tidal Limit,ALN,,,Not Applicable,Commissioned pre-2016 - full year data expected,12.00,18,28.8,10 (installed pre-2013),98.56%,,,,,,,NU2383911581,55.397603,-1.625162
Northumbrian Water,AYCLIFFE (STEPHENSON WAY) PS,6NW800542,25/03/1243,25/03/1243,,Storm discharge at pumping station,NZ2910023660,GB103025072391,Skerne form Woodham Burn to Demons Beck,RIVER SKERNE,,,Not Applicable,Commissioned in 2020 - full year data expected,10.72,7,12.3,3 (installed 2019),100%,,,,,,,NZ2910023660,54.607273,-1.551006
Northumbrian Water,AYCLIFFE STW WORKS,6NW800770(1),253/1278,253/1278,A2,Storm tank at WwTW,NZ2822823495,GB103025072596,Skerne from Demons Beck to Tees,DEMONS BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,88.35,14,20.3,3 (installed 2019),100%,,,,,,,NZ2822823495,54.60584,-1.564521
